44,0,0,6,
66,0,0,6,
45,0,0,6,
67,0,0,6,
46,0,0,7,
47,0,0,8,
48,0,0,10,
49,0,0,12,
50,0,0,14,
51,0,0,12,
52,0,0,10,
53,0,0,8,
54,0,0,6,
55,0,0,8,
56,0,0,10,
57,0,0,8,
58,0,0,6,
59,0,0,6,
60,0,0,6,
116,0,0,8,
117,0,0,8,
61,0,0,6,
62,0,0,6,
63,0,0,6,
64,0,0,8,
65,0,0,6,
36,0,0,8,
68,0,0,6,
69,0,0,6,
70,0,0,6,
71,0,0,6,
72,0,0,6,
73,0,0,6,
74,0,0,6,
75,0,0,6,
76,0,0,6,
77,0,0,6,
78,0,0,6,
79,0,0,6,
80,0,0,6,
81,0,0,6,
82,0,0,6,
83,0,0,6,
84,0,0,6,
85,0,0,6,
86,0,0,6,
87,0,0,6,
88,0,0,6,
89,0,0,6,
90,0,0,6,
91,0,0,6,
92,0,0,6,
93,0,0,6,
94,0,0,6,
95,0,0,6,
96,0,0,6,
97,0,0,6,
98,0,0,6,
99,0,0,6,
100,0,0,6,
101,0,0,6,
37,0,0,10,
38,0,0,10,
39,0,0,10,
40,0,0,10,
